,State Code,State,PrecipitationPercentIncrease2100,PrecipitationPercentInc1958,SeaLevelRiseInches1950,amountPaidOnContentsClaim,cumulative_risk_score,projectAmountMillions,numberOfProperties,projectCount,bill_count,cumulative_response_score,PercentPropertiesAtRisk2050FSF,Region
0,LA,Louisiana,-0.50775354,-0.23967282399999998,2.706548628,4.755108186,6.71423045,3.7934502039999995,1.4070539709999998,1.23966286,-0.304517698,6.1356493379999995,0.358,South
1,TX,Texas,-1.385564744,-1.1340616559999999,1.9817899769999998,4.750772096,4.2129356719999995,3.0993708339999997,1.876434709,1.386531622,-0.143100422,6.219236743,0.11,South
2,NJ,New Jersey,0.808963267,1.429852995,1.159599147,0.702150895,4.100566305,0.559588094,0.5246181839999999,0.57875343,2.439575991,4.1025356980000005,0.133,Northeast
3,NY,New York,0.808963267,1.429852995,0.7079398640000001,0.545178188,3.491934315,2.98894796,-0.215043331,0.580851555,2.547187508,5.901943692000001,0.129,Northeast
4,MD,Maryland,0.808963267,1.429852995,0.9717036259999999,-0.279322945,2.931196944,-0.475664504,-0.583945643,-0.47240728200000004,-0.412129215,-1.944146643,0.071,South
5,MA,Massachusetts,0.808963267,1.429852995,0.65468746,-0.267450313,2.626053409,-0.358396138,-0.5315400579999999,-0.27308539,0.55637444,-0.606647146,0.1,Northeast
6,ME,Maine,0.808963267,1.429852995,0.606694552,-0.330639422,2.514871392,-0.524274165,-0.610148436,-0.45142603,-0.788769525,-2.374618156,0.091,Northeast
7,NH,New Hampshire,0.808963267,1.429852995,0.537795144,-0.332333003,2.444278404,-0.512819374,-0.635938587,-0.47660353200000005,-0.6811580079999999,-2.306519501,0.116,Northeast
8,CT,Connecticut,0.808963267,1.429852995,0.24573529,-0.261703849,2.2228477030000002,-0.455298315,-0.604784085,-0.6276685439999999,-0.788769525,-2.47652047,0.11,Northeast
9,RI,Rhode Island,0.808963267,1.429852995,0.232218383,-0.309480692,2.1615539530000003,-0.5583093579999999,-0.6413029379999999,-0.904621067,-0.304517698,-2.408751061,0.079,Northeast
